Electrochemical Behavior of Single-walled Carbon Nanotube Supercapacitors under Compressive Stress,Electrochemical behavior of single-walled carbon nanotube supercapacitors under compressive stress,,150,30.00%,30.00%
ROS stress in cancer cells and therapeutic implications,ROS stress in cancer cells and therapeutic implications,,1338,100.00%,100.00%
Stabilization of p53 is a novel mechanism for proapoptotic function of NF-kappaB,Stabilization of p53 is a novel mechanism for proapoptotic function of NF-κB,C Schmidt,121,91.67%,91.67%
Free radical stress in chronic lymphocytic leukemia cells and its role in cellular sensitivity to ROS-generating anticancer agents,Free radical stress in chronic lymphocytic leukemia cells and its role in cellular sensitivity to ROS-generating anticancer agents,,267,100.00%,100.00%
Improved radiolabeling of PEGylated protein: PEGylated annexin V for noninvasive imaging of tumor apoptosis.,Improved radiolabeling of PEGylated protein: PEGylated annexin V for noninvasive imaging of tumor apoptosis,,36,92.86%,92.86%
Interfering of the mitochondrial electron transport: A novel strategy to enhance drug-induced apoptosis in leukemia cells through a free radical-mediated mechanism,… of mitochondrial respiration a novel strategy to enhance drug-induced apoptosis in human leukemia cells by a reactive oxygen species-mediated mechanism,,473,61.90%,60.00%
Mitochondrial DNA mutations in primary leukemia cells after chemotherapy: clinical significance and therapeutic implications,Mitochondrial DNA mutations in primary leukemia cells after chemotherapy: clinical significance and therapeutic implications,,163,100.00%,100.00%
"Action of (E)-2'-deoxy-2'-(fluoromethylene)cytidine on DNA metabolism: incorporation, excision, and cellular response","Action of (E)-2′-deoxy-2′-(fluoromethylene) cytidine on DNA metabolism: incorporation, excision, and cellular response",,29,90.91%,83.33%
he circadian gene Period2 plays an important role in tumor suppression and DNA damage response in vivo,The circadian gene Period2 plays an important role in tumor suppression and DNA damage response in vivo,CC Lee,1016,94.12%,94.12%
Mitochondrial defects in cancer.,Mitochondrial defects in cancer,,593,75.00%,75.00%
Suppression of mismatched mutation by p53: a mechanism for guarding genomic integrity,Suppression of mismatched mutation by p53: a mechanism for guarding genomic integrity,,7,100.00%,100.00%
2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine: a novel anticancer nucleoside analog that causes both DNA strand breaks and G(2) arrest.,2′-C-cyano-2′-deoxy-1-β-D-arabino-pentofuranosylcytosine: a novel anticancer nucleoside analog that causes both DNA strand breaks and G2 arrest,,61,80.00%,80.00%
Cellular pharmacokinetics and pharmacodynamics of the deoxycytidine analog 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine (CNDAC),Cellular pharmacokinetics and pharmacodynamics of the deoxycytidine analog 2′-C-cyano-2′-deoxy-1-β-d-arabino-pentofuranosylcytosine (CNDAC),,19,90.00%,90.00%
Enhancement of the antiproliferative function of p53 by phosphorylation at serine 20: an inference from site-directed mutagenesis studies,Enhancement of the antiproliferative function of p53 by phosphorylation at serine 20: an inference from site-directed mutagenesis studies,W Zhang,18,100.00%,100.00%
Interaction of p53 and DNA-PK in response to nucleoside analogues: potential role as a sensor complex for DNA damage,Interaction of p53 and DNA-PK in Response to Nucleoside Analogues,,134,36.84%,70.00%
Selective killing of oncogenic-transformed cells through a ROS-mediated mechanism by beta-phenylethyl isothiocyanate,Selective killing of oncogenic transformed cells through ROS-mediated mechanism by β-phenylethyl isothiocyanates,,0,66.67%,66.67%
Glycolysis Inhibition for Anti-Cancer Treatment,Glycolysis inhibition for anticancer treatment,,1086,40.00%,40.00%
Aggresome disruption: a novel strategy to enhance bortezomib-induced apoptosis in pancreatic cancer cells,Aggresome disruption: a novel strategy to enhance bortezomib-induced apoptosis in pancreatic cancer cells,,225,100.00%,100.00%
Anticancer activities of novel chalcone and bis-chalcone derivatives,Anticancer activities of novel chalcone and bis-chalcone derivatives,,323,100.00%,100.00%
"Selective killing of oncogenic-transformed cells through ROS-mediated mechanism by beta-phenylethyl isothiocyanate, Research Highlights under Cancer Biology Section: Radical Measures",Selective killing of oncogenic transformed cells through ROS-mediated mechanism by β-phenylethyl isothiocyanates,,0,42.11%,66.67%
The carboxyl-terminal of BRCA1 is required for subnuclear assembly of RAD51 after treatment with cisplatin but not ionizing radiation in human breast and ovarian cancer cells,The carboxyl-terminal of BRCA1 is required for subnuclear assembly of RAD51 after treatment with cisplatin but not ionizing radiation in human breast and ovarian …,,34,88.46%,95.83%
"Combination of 5-fluorouracil and N1,N11-diethylnorspermine markedly activates spermidine/spermine N1-acetyltransferase expression, depletes polyamines, and synergistically induces apoptosis in colon carcinoma cells","Combination of 5-fluorouracil and N1, N11-diethylnorspermine markedly activates spermidine/spermine N1-acetyltransferase expression, depletes polyamines, and …",,58,55.00%,85.71%
Inhibition of glycolysis in cancer cells: a novel strategy to overcome drug resistance associated with mitochondrial respiratory defect and hypoxia,Inhibition of glycolysis in cancer cells: a novel strategy to overcome drug resistance associated with mitochondrial respiratory defect and hypoxia,,727,100.00%,100.00%
Novel role of p53 in maintaining mitochondrial genetic stability through interaction with DNA Pol gamma,Novel role of p53 in maintaining mitochondrial genetic stability through interaction with DNA Pol γ,,239,93.33%,93.33%
OSW-1: a natural compound with potent anticancer activity and a novel mechanism of action.,OSW-1: a natural compound with potent anticancer activity and a novel mechanism of action,,85,92.86%,92.86%
Synergistic effect of targeting mTOR by rapamycin and depleting ATP by inhibition of glycolysis in lymphoma and leukemia cells.,Synergistic effect of targeting mTOR by rapamycin and depleting ATP by inhibition of glycolysis in lymphoma and leukemia cells,,106,94.74%,94.74%
Bortezomib inhibits PKR-like endoplasmic reticulum (ER) kinase and induces apoptosis via ER stress in human pancreatic cancer cells,Bortezomib inhibits PKR-like endoplasmic reticulum (ER) kinase and induces apoptosis via ER stress in human pancreatic cancer cells,LH Boise,279,100.00%,100.00%
Bortezomib sensitizes pancreatic cancer cells to endoplasmic reticulum stress-mediated apoptosis,Bortezomib sensitizes pancreatic cancer cells to endoplasmic reticulum stress-mediated apoptosis,,279,100.00%,100.00%
Mitochondrial MnSOD expression in ovarian cancer: Role in cell proliferation and response to oxidative stress,ROS stress in cancer cells and therapeutic implications,,1338,20.00%,50.00%
Molecular basis for G2 arrest induced by 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine and consequences of checkpoint abrogation.. Molecular basis for G2 arrest induced by 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine and consequences of checkpoint abrogation,Molecular basis for G2 arrest induced by 2′-C-cyano-2′-deoxy-1-β-d-arabino-pentofuranosylcytosine and consequences of checkpoint abrogation,A Azuma,37,46.15%,176.92%
Hu1D10 induces apoptosis concurrent with activation of the AKT survival pathway in human chronic lymphocytic leukemia cells,Hu1D10 induces apoptosis concurrent with activation of the AKT survival pathway in human chronic lymphocytic leukemia cells,,61,100.00%,100.00%
Increased mitochondrial biogenesis in primary leukemia cells: the role of endogenous nitric oxide and impact on sensitivity to fludarabine,Increased mitochondrial biogenesis in primary leukemia cells: the role of endogenous nitric oxide and impact on sensitivity to fludarabine,,92,100.00%,100.00%
Intrinsic oxidative stress in cancer cells: a biochemical basis for therapeutic selectivity,Intrinsic oxidative stress in cancer cells: a biochemical basis for therapeutic selectivity,,334,100.00%,100.00%
Role of p53 in sensing oxidative DNA damage in response to reactive oxygen species-generating agents,Role of p53 in sensing oxidative DNA damage in response to reactive oxygen species-generating agents,,140,100.00%,100.00%
ROS stress in cancer cells and therapeutic implications,ROS stress in cancer cells and therapeutic implications,,1338,100.00%,100.00%
Stabilization of p53 is a novel mechanism for proapoptotic function of NF-kappaB,Stabilization of p53 is a novel mechanism for proapoptotic function of NF-κB,C Schmidt,121,91.67%,91.67%
Free radical stress in chronic lymphocytic leukemia cells and its role in cellular sensitivity to ROS-generating anticancer agents,Free radical stress in chronic lymphocytic leukemia cells and its role in cellular sensitivity to ROS-generating anticancer agents,,267,100.00%,100.00%
Improved radiolabeling of PEGylated protein: PEGylated annexin V for noninvasive imaging of tumor apoptosis.,Improved radiolabeling of PEGylated protein: PEGylated annexin V for noninvasive imaging of tumor apoptosis,,36,92.86%,92.86%
Interfering of the mitochondrial electron transport: A novel strategy to enhance drug-induced apoptosis in leukemia cells through a free radical-mediated mechanism,… of mitochondrial respiration a novel strategy to enhance drug-induced apoptosis in human leukemia cells by a reactive oxygen species-mediated mechanism,,473,61.90%,60.00%
Mitochondrial DNA mutations in primary leukemia cells after chemotherapy: clinical significance and therapeutic implications,Mitochondrial DNA mutations in primary leukemia cells after chemotherapy: clinical significance and therapeutic implications,,163,100.00%,100.00%
"Action of (E)-2'-deoxy-2'-(fluoromethylene)cytidine on DNA metabolism: incorporation, excision, and cellular response","Action of (E)-2′-deoxy-2′-(fluoromethylene) cytidine on DNA metabolism: incorporation, excision, and cellular response",,29,90.91%,83.33%
he circadian gene Period2 plays an important role in tumor suppression and DNA damage response in vivo,The circadian gene Period2 plays an important role in tumor suppression and DNA damage response in vivo,CC Lee,1016,94.12%,94.12%
Mitochondrial defects in cancer.,Mitochondrial defects in cancer,,593,75.00%,75.00%
Suppression of mismatched mutation by p53: a mechanism for guarding genomic integrity,Suppression of mismatched mutation by p53: a mechanism for guarding genomic integrity,,7,100.00%,100.00%
2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine: a novel anticancer nucleoside analog that causes both DNA strand breaks and G(2) arrest.,2′-C-cyano-2′-deoxy-1-β-D-arabino-pentofuranosylcytosine: a novel anticancer nucleoside analog that causes both DNA strand breaks and G2 arrest,,61,80.00%,80.00%
Cellular pharmacokinetics and pharmacodynamics of the deoxycytidine analog 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine (CNDAC),Cellular pharmacokinetics and pharmacodynamics of the deoxycytidine analog 2′-C-cyano-2′-deoxy-1-β-d-arabino-pentofuranosylcytosine (CNDAC),,19,90.00%,90.00%
Enhancement of the antiproliferative function of p53 by phosphorylation at serine 20: an inference from site-directed mutagenesis studies,Enhancement of the antiproliferative function of p53 by phosphorylation at serine 20: an inference from site-directed mutagenesis studies,W Zhang,18,100.00%,100.00%
Interaction of p53 and DNA-PK in response to nucleoside analogues: potential role as a sensor complex for DNA damage,Interaction of p53 and DNA-PK in Response to Nucleoside Analogues,,134,36.84%,70.00%
Selective killing of oncogenic-transformed cells through a ROS-mediated mechanism by beta-phenylethyl isothiocyanate,Selective killing of oncogenic transformed cells through ROS-mediated mechanism by β-phenylethyl isothiocyanates,,0,66.67%,66.67%
Glycolysis Inhibition for Anti-Cancer Treatment,Glycolysis inhibition for anticancer treatment,,1086,40.00%,40.00%
Aggresome disruption: a novel strategy to enhance bortezomib-induced apoptosis in pancreatic cancer cells,Aggresome disruption: a novel strategy to enhance bortezomib-induced apoptosis in pancreatic cancer cells,,225,100.00%,100.00%
Anticancer activities of novel chalcone and bis-chalcone derivatives,Anticancer activities of novel chalcone and bis-chalcone derivatives,,323,100.00%,100.00%
"Selective killing of oncogenic-transformed cells through ROS-mediated mechanism by beta-phenylethyl isothiocyanate, Research Highlights under Cancer Biology Section: Radical Measures",Selective killing of oncogenic transformed cells through ROS-mediated mechanism by β-phenylethyl isothiocyanates,,0,42.11%,66.67%
The carboxyl-terminal of BRCA1 is required for subnuclear assembly of RAD51 after treatment with cisplatin but not ionizing radiation in human breast and ovarian cancer cells,The carboxyl-terminal of BRCA1 is required for subnuclear assembly of RAD51 after treatment with cisplatin but not ionizing radiation in human breast and ovarian …,,34,88.46%,95.83%
"Combination of 5-fluorouracil and N1,N11-diethylnorspermine markedly activates spermidine/spermine N1-acetyltransferase expression, depletes polyamines, and synergistically induces apoptosis in colon carcinoma cells","Combination of 5-fluorouracil and N1, N11-diethylnorspermine markedly activates spermidine/spermine N1-acetyltransferase expression, depletes polyamines, and …",,58,55.00%,85.71%
Inhibition of glycolysis in cancer cells: a novel strategy to overcome drug resistance associated with mitochondrial respiratory defect and hypoxia,Inhibition of glycolysis in cancer cells: a novel strategy to overcome drug resistance associated with mitochondrial respiratory defect and hypoxia,,727,100.00%,100.00%
Novel role of p53 in maintaining mitochondrial genetic stability through interaction with DNA Pol gamma,Novel role of p53 in maintaining mitochondrial genetic stability through interaction with DNA Pol γ,,239,93.33%,93.33%
OSW-1: a natural compound with potent anticancer activity and a novel mechanism of action.,OSW-1: a natural compound with potent anticancer activity and a novel mechanism of action,,85,92.86%,92.86%
Synergistic effect of targeting mTOR by rapamycin and depleting ATP by inhibition of glycolysis in lymphoma and leukemia cells.,Synergistic effect of targeting mTOR by rapamycin and depleting ATP by inhibition of glycolysis in lymphoma and leukemia cells,,106,94.74%,94.74%
Bortezomib inhibits PKR-like endoplasmic reticulum (ER) kinase and induces apoptosis via ER stress in human pancreatic cancer cells,Bortezomib inhibits PKR-like endoplasmic reticulum (ER) kinase and induces apoptosis via ER stress in human pancreatic cancer cells,LH Boise,279,100.00%,100.00%
Bortezomib sensitizes pancreatic cancer cells to endoplasmic reticulum stress-mediated apoptosis,Bortezomib sensitizes pancreatic cancer cells to endoplasmic reticulum stress-mediated apoptosis,,279,100.00%,100.00%
Mitochondrial MnSOD expression in ovarian cancer: Role in cell proliferation and response to oxidative stress,ROS stress in cancer cells and therapeutic implications,,1338,20.00%,50.00%
Molecular basis for G2 arrest induced by 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine and consequences of checkpoint abrogation.. Molecular basis for G2 arrest induced by 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine and consequences of checkpoint abrogation,Molecular basis for G2 arrest induced by 2′-C-cyano-2′-deoxy-1-β-d-arabino-pentofuranosylcytosine and consequences of checkpoint abrogation,A Azuma,37,46.15%,176.92%
Hu1D10 induces apoptosis concurrent with activation of the AKT survival pathway in human chronic lymphocytic leukemia cells,Hu1D10 induces apoptosis concurrent with activation of the AKT survival pathway in human chronic lymphocytic leukemia cells,,61,100.00%,100.00%
Increased mitochondrial biogenesis in primary leukemia cells: the role of endogenous nitric oxide and impact on sensitivity to fludarabine,Increased mitochondrial biogenesis in primary leukemia cells: the role of endogenous nitric oxide and impact on sensitivity to fludarabine,,92,100.00%,100.00%
Intrinsic oxidative stress in cancer cells: a biochemical basis for therapeutic selectivity,Intrinsic oxidative stress in cancer cells: a biochemical basis for therapeutic selectivity,,334,100.00%,100.00%
Role of p53 in sensing oxidative DNA damage in response to reactive oxygen species-generating agents,Role of p53 in sensing oxidative DNA damage in response to reactive oxygen species-generating agents,,140,100.00%,100.00%
ROS stress in cancer cells and therapeutic implications,ROS stress in cancer cells and therapeutic implications,,1338,100.00%,100.00%
Stabilization of p53 is a novel mechanism for proapoptotic function of NF-kappaB,Stabilization of p53 is a novel mechanism for proapoptotic function of NF-κB,C Schmidt,121,91.67%,91.67%
Free radical stress in chronic lymphocytic leukemia cells and its role in cellular sensitivity to ROS-generating anticancer agents,Free radical stress in chronic lymphocytic leukemia cells and its role in cellular sensitivity to ROS-generating anticancer agents,,267,100.00%,100.00%
Improved radiolabeling of PEGylated protein: PEGylated annexin V for noninvasive imaging of tumor apoptosis.,Improved radiolabeling of PEGylated protein: PEGylated annexin V for noninvasive imaging of tumor apoptosis,,36,92.86%,92.86%
Interfering of the mitochondrial electron transport: A novel strategy to enhance drug-induced apoptosis in leukemia cells through a free radical-mediated mechanism,… of mitochondrial respiration a novel strategy to enhance drug-induced apoptosis in human leukemia cells by a reactive oxygen species-mediated mechanism,,473,61.90%,60.00%
Mitochondrial DNA mutations in primary leukemia cells after chemotherapy: clinical significance and therapeutic implications,Mitochondrial DNA mutations in primary leukemia cells after chemotherapy: clinical significance and therapeutic implications,,163,100.00%,100.00%
"Action of (E)-2'-deoxy-2'-(fluoromethylene)cytidine on DNA metabolism: incorporation, excision, and cellular response","Action of (E)-2′-deoxy-2′-(fluoromethylene) cytidine on DNA metabolism: incorporation, excision, and cellular response",,29,90.91%,83.33%
he circadian gene Period2 plays an important role in tumor suppression and DNA damage response in vivo,The circadian gene Period2 plays an important role in tumor suppression and DNA damage response in vivo,CC Lee,1016,94.12%,94.12%
Mitochondrial defects in cancer.,Mitochondrial defects in cancer,,593,75.00%,75.00%
Suppression of mismatched mutation by p53: a mechanism for guarding genomic integrity,Suppression of mismatched mutation by p53: a mechanism for guarding genomic integrity,,7,100.00%,100.00%
2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine: a novel anticancer nucleoside analog that causes both DNA strand breaks and G(2) arrest.,2′-C-cyano-2′-deoxy-1-β-D-arabino-pentofuranosylcytosine: a novel anticancer nucleoside analog that causes both DNA strand breaks and G2 arrest,,61,80.00%,80.00%
Cellular pharmacokinetics and pharmacodynamics of the deoxycytidine analog 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine (CNDAC),Cellular pharmacokinetics and pharmacodynamics of the deoxycytidine analog 2′-C-cyano-2′-deoxy-1-β-d-arabino-pentofuranosylcytosine (CNDAC),,19,90.00%,90.00%
Enhancement of the antiproliferative function of p53 by phosphorylation at serine 20: an inference from site-directed mutagenesis studies,Enhancement of the antiproliferative function of p53 by phosphorylation at serine 20: an inference from site-directed mutagenesis studies,W Zhang,18,100.00%,100.00%
Interaction of p53 and DNA-PK in response to nucleoside analogues: potential role as a sensor complex for DNA damage,Interaction of p53 and DNA-PK in Response to Nucleoside Analogues,,134,36.84%,70.00%
Selective killing of oncogenic-transformed cells through a ROS-mediated mechanism by beta-phenylethyl isothiocyanate,Selective killing of oncogenic transformed cells through ROS-mediated mechanism by β-phenylethyl isothiocyanates,,0,66.67%,66.67%
Glycolysis Inhibition for Anti-Cancer Treatment,Glycolysis inhibition for anticancer treatment,,1086,40.00%,40.00%
Aggresome disruption: a novel strategy to enhance bortezomib-induced apoptosis in pancreatic cancer cells,Aggresome disruption: a novel strategy to enhance bortezomib-induced apoptosis in pancreatic cancer cells,,225,100.00%,100.00%
Anticancer activities of novel chalcone and bis-chalcone derivatives,Anticancer activities of novel chalcone and bis-chalcone derivatives,,323,100.00%,100.00%
"Selective killing of oncogenic-transformed cells through ROS-mediated mechanism by beta-phenylethyl isothiocyanate, Research Highlights under Cancer Biology Section: Radical Measures",Selective killing of oncogenic transformed cells through ROS-mediated mechanism by β-phenylethyl isothiocyanates,,0,42.11%,66.67%
The carboxyl-terminal of BRCA1 is required for subnuclear assembly of RAD51 after treatment with cisplatin but not ionizing radiation in human breast and ovarian cancer cells,The carboxyl-terminal of BRCA1 is required for subnuclear assembly of RAD51 after treatment with cisplatin but not ionizing radiation in human breast and ovarian …,,34,88.46%,95.83%
"Combination of 5-fluorouracil and N1,N11-diethylnorspermine markedly activates spermidine/spermine N1-acetyltransferase expression, depletes polyamines, and synergistically induces apoptosis in colon carcinoma cells","Combination of 5-fluorouracil and N1, N11-diethylnorspermine markedly activates spermidine/spermine N1-acetyltransferase expression, depletes polyamines, and …",,58,55.00%,85.71%
Inhibition of glycolysis in cancer cells: a novel strategy to overcome drug resistance associated with mitochondrial respiratory defect and hypoxia,Inhibition of glycolysis in cancer cells: a novel strategy to overcome drug resistance associated with mitochondrial respiratory defect and hypoxia,,727,100.00%,100.00%
Novel role of p53 in maintaining mitochondrial genetic stability through interaction with DNA Pol gamma,Novel role of p53 in maintaining mitochondrial genetic stability through interaction with DNA Pol γ,,239,93.33%,93.33%
OSW-1: a natural compound with potent anticancer activity and a novel mechanism of action.,OSW-1: a natural compound with potent anticancer activity and a novel mechanism of action,,85,92.86%,92.86%
Synergistic effect of targeting mTOR by rapamycin and depleting ATP by inhibition of glycolysis in lymphoma and leukemia cells.,Synergistic effect of targeting mTOR by rapamycin and depleting ATP by inhibition of glycolysis in lymphoma and leukemia cells,,106,94.74%,94.74%
Bortezomib inhibits PKR-like endoplasmic reticulum (ER) kinase and induces apoptosis via ER stress in human pancreatic cancer cells,Bortezomib inhibits PKR-like endoplasmic reticulum (ER) kinase and induces apoptosis via ER stress in human pancreatic cancer cells,LH Boise,279,100.00%,100.00%
Bortezomib sensitizes pancreatic cancer cells to endoplasmic reticulum stress-mediated apoptosis,Bortezomib sensitizes pancreatic cancer cells to endoplasmic reticulum stress-mediated apoptosis,,279,100.00%,100.00%
Mitochondrial MnSOD expression in ovarian cancer: Role in cell proliferation and response to oxidative stress,ROS stress in cancer cells and therapeutic implications,,1338,20.00%,50.00%
Molecular basis for G2 arrest induced by 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine and consequences of checkpoint abrogation.. Molecular basis for G2 arrest induced by 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine and consequences of checkpoint abrogation,Molecular basis for G2 arrest induced by 2′-C-cyano-2′-deoxy-1-β-d-arabino-pentofuranosylcytosine and consequences of checkpoint abrogation,A Azuma,37,46.15%,176.92%
Hu1D10 induces apoptosis concurrent with activation of the AKT survival pathway in human chronic lymphocytic leukemia cells,Hu1D10 induces apoptosis concurrent with activation of the AKT survival pathway in human chronic lymphocytic leukemia cells,,61,100.00%,100.00%
Increased mitochondrial biogenesis in primary leukemia cells: the role of endogenous nitric oxide and impact on sensitivity to fludarabine,Increased mitochondrial biogenesis in primary leukemia cells: the role of endogenous nitric oxide and impact on sensitivity to fludarabine,,92,100.00%,100.00%
Intrinsic oxidative stress in cancer cells: a biochemical basis for therapeutic selectivity,Intrinsic oxidative stress in cancer cells: a biochemical basis for therapeutic selectivity,,334,100.00%,100.00%
Role of p53 in sensing oxidative DNA damage in response to reactive oxygen species-generating agents,Role of p53 in sensing oxidative DNA damage in response to reactive oxygen species-generating agents,,140,100.00%,100.00%
ROS stress in cancer cells and therapeutic implications,ROS stress in cancer cells and therapeutic implications,,1338,100.00%,100.00%
Stabilization of p53 is a novel mechanism for proapoptotic function of NF-kappaB,Stabilization of p53 is a novel mechanism for proapoptotic function of NF-κB,C Schmidt,121,91.67%,91.67%
Free radical stress in chronic lymphocytic leukemia cells and its role in cellular sensitivity to ROS-generating anticancer agents,Free radical stress in chronic lymphocytic leukemia cells and its role in cellular sensitivity to ROS-generating anticancer agents,,267,100.00%,100.00%
Improved radiolabeling of PEGylated protein: PEGylated annexin V for noninvasive imaging of tumor apoptosis.,Improved radiolabeling of PEGylated protein: PEGylated annexin V for noninvasive imaging of tumor apoptosis,,36,92.86%,92.86%
Interfering of the mitochondrial electron transport: A novel strategy to enhance drug-induced apoptosis in leukemia cells through a free radical-mediated mechanism,… of mitochondrial respiration a novel strategy to enhance drug-induced apoptosis in human leukemia cells by a reactive oxygen species-mediated mechanism,,473,61.90%,60.00%
Mitochondrial DNA mutations in primary leukemia cells after chemotherapy: clinical significance and therapeutic implications,Mitochondrial DNA mutations in primary leukemia cells after chemotherapy: clinical significance and therapeutic implications,,163,100.00%,100.00%
"Action of (E)-2'-deoxy-2'-(fluoromethylene)cytidine on DNA metabolism: incorporation, excision, and cellular response","Action of (E)-2′-deoxy-2′-(fluoromethylene) cytidine on DNA metabolism: incorporation, excision, and cellular response",,29,90.91%,83.33%
he circadian gene Period2 plays an important role in tumor suppression and DNA damage response in vivo,The circadian gene Period2 plays an important role in tumor suppression and DNA damage response in vivo,CC Lee,1016,94.12%,94.12%
Mitochondrial defects in cancer.,Mitochondrial defects in cancer,,593,75.00%,75.00%
Suppression of mismatched mutation by p53: a mechanism for guarding genomic integrity,Suppression of mismatched mutation by p53: a mechanism for guarding genomic integrity,,7,100.00%,100.00%
2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine: a novel anticancer nucleoside analog that causes both DNA strand breaks and G(2) arrest.,2′-C-cyano-2′-deoxy-1-β-D-arabino-pentofuranosylcytosine: a novel anticancer nucleoside analog that causes both DNA strand breaks and G2 arrest,,61,80.00%,80.00%
Cellular pharmacokinetics and pharmacodynamics of the deoxycytidine analog 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine (CNDAC),Cellular pharmacokinetics and pharmacodynamics of the deoxycytidine analog 2′-C-cyano-2′-deoxy-1-β-d-arabino-pentofuranosylcytosine (CNDAC),,19,90.00%,90.00%
Enhancement of the antiproliferative function of p53 by phosphorylation at serine 20: an inference from site-directed mutagenesis studies,Enhancement of the antiproliferative function of p53 by phosphorylation at serine 20: an inference from site-directed mutagenesis studies,W Zhang,18,100.00%,100.00%
Interaction of p53 and DNA-PK in response to nucleoside analogues: potential role as a sensor complex for DNA damage,Interaction of p53 and DNA-PK in Response to Nucleoside Analogues,,134,36.84%,70.00%
Selective killing of oncogenic-transformed cells through a ROS-mediated mechanism by beta-phenylethyl isothiocyanate,Selective killing of oncogenic transformed cells through ROS-mediated mechanism by β-phenylethyl isothiocyanates,,0,66.67%,66.67%
Glycolysis Inhibition for Anti-Cancer Treatment,Glycolysis inhibition for anticancer treatment,,1086,40.00%,40.00%
Aggresome disruption: a novel strategy to enhance bortezomib-induced apoptosis in pancreatic cancer cells,Aggresome disruption: a novel strategy to enhance bortezomib-induced apoptosis in pancreatic cancer cells,,225,100.00%,100.00%
Anticancer activities of novel chalcone and bis-chalcone derivatives,Anticancer activities of novel chalcone and bis-chalcone derivatives,,323,100.00%,100.00%
"Selective killing of oncogenic-transformed cells through ROS-mediated mechanism by beta-phenylethyl isothiocyanate, Research Highlights under Cancer Biology Section: Radical Measures",Selective killing of oncogenic transformed cells through ROS-mediated mechanism by β-phenylethyl isothiocyanates,,0,42.11%,66.67%
The carboxyl-terminal of BRCA1 is required for subnuclear assembly of RAD51 after treatment with cisplatin but not ionizing radiation in human breast and ovarian cancer cells,The carboxyl-terminal of BRCA1 is required for subnuclear assembly of RAD51 after treatment with cisplatin but not ionizing radiation in human breast and ovarian …,,34,88.46%,95.83%
"Combination of 5-fluorouracil and N1,N11-diethylnorspermine markedly activates spermidine/spermine N1-acetyltransferase expression, depletes polyamines, and synergistically induces apoptosis in colon carcinoma cells","Combination of 5-fluorouracil and N1, N11-diethylnorspermine markedly activates spermidine/spermine N1-acetyltransferase expression, depletes polyamines, and …",,58,55.00%,85.71%
Inhibition of glycolysis in cancer cells: a novel strategy to overcome drug resistance associated with mitochondrial respiratory defect and hypoxia,Inhibition of glycolysis in cancer cells: a novel strategy to overcome drug resistance associated with mitochondrial respiratory defect and hypoxia,,727,100.00%,100.00%
Novel role of p53 in maintaining mitochondrial genetic stability through interaction with DNA Pol gamma,Novel role of p53 in maintaining mitochondrial genetic stability through interaction with DNA Pol γ,,239,93.33%,93.33%
OSW-1: a natural compound with potent anticancer activity and a novel mechanism of action.,OSW-1: a natural compound with potent anticancer activity and a novel mechanism of action,,85,92.86%,92.86%
Synergistic effect of targeting mTOR by rapamycin and depleting ATP by inhibition of glycolysis in lymphoma and leukemia cells.,Synergistic effect of targeting mTOR by rapamycin and depleting ATP by inhibition of glycolysis in lymphoma and leukemia cells,,106,94.74%,94.74%
Bortezomib inhibits PKR-like endoplasmic reticulum (ER) kinase and induces apoptosis via ER stress in human pancreatic cancer cells,Bortezomib inhibits PKR-like endoplasmic reticulum (ER) kinase and induces apoptosis via ER stress in human pancreatic cancer cells,LH Boise,279,100.00%,100.00%
Bortezomib sensitizes pancreatic cancer cells to endoplasmic reticulum stress-mediated apoptosis,Bortezomib sensitizes pancreatic cancer cells to endoplasmic reticulum stress-mediated apoptosis,,279,100.00%,100.00%
Mitochondrial MnSOD expression in ovarian cancer: Role in cell proliferation and response to oxidative stress,ROS stress in cancer cells and therapeutic implications,,1338,20.00%,50.00%
Molecular basis for G2 arrest induced by 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine and consequences of checkpoint abrogation.. Molecular basis for G2 arrest induced by 2'-C-cyano-2'-deoxy-1-beta-D-arabino-pentofuranosylcytosine and consequences of checkpoint abrogation,Molecular basis for G2 arrest induced by 2′-C-cyano-2′-deoxy-1-β-d-arabino-pentofuranosylcytosine and consequences of checkpoint abrogation,A Azuma,37,46.15%,176.92%
