A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,C Guo,89,100.00%,100.00%
The impact of information technology on financial performance of 3rd party logistics firms in China,The impact of information technology on financial performance: the importance of strategic choice,,107,53.33%,61.54%
The information technology capability of third-party logistics providers: a resource-based view and empirical evidence from China,The information technology capability of third‐party logistics providers: a resource‐based view and empirical evidence from China,F Lai D Li,154,87.50%,87.50%
The myth of the dragon: Operations management in today’s China,The myth of the dragon: Operations management in today's China,BB Flynn A Roth,13,90.00%,90.00%
"Decision sciences research in China: current status, opportunities and propositions for research in logistics, supply chain management and quality management","Decision sciences research in China: current status, opportunities, and propositions for research in supply chain management, logistics, and quality management",BB Flynn AV Roth,145,90.00%,95.00%
A taxonomy of IT strategy and its impact on performance of 3PLs in China,Taxonomy of information technology strategy and its impact on the performance of third-party logistics (3PL) in China,F Lai,58,71.43%,58.82%
The value of early order commitment in a two-level supply chain,The value of early order commitment in a two-level supply chain,,29,100.00%,100.00%
A fuzzy programming approach for supply chain network design,A fuzzy programming approach for supply chain network design,D Zhou,8,100.00%,100.00%
Interactional justice and the fair process effect: The role of outcome uncertainty,Interactional justice and the fair process effect: The role of outcome uncertainty,,29,100.00%,100.00%
Decision sciences research in China: A critical review and research agenda,Decision sciences research in China: a critical review and research agenda—foundations and overview,BB Flynn AV Roth,177,90.91%,69.23%
Sequence-to-customer with stochastic demands for a mixed model assembly Line,Sequence-to-customer goal with stochastic demands for a mixed-model assembly line,,9,70.00%,70.00%
The impact of information technology on the competitive advantage of logistics firms in China,The impact of information technology on the competitive advantage of logistics firms in China,F Lai,94,100.00%,100.00%
A taxonomy of manufacturing strategies in China,A taxonomy of manufacturing strategies in China,H Zhang TS Lee,170,100.00%,100.00%
Selecting forecasting model parameters in Material Requirement Planning systems.,Selecting forecasting model parameters in Material Requirement Planning systems,F Lai T Lee,2,88.89%,88.89%
Quality management practices and organizational context in the service sector,Management theory and total quality: improving research and practice through theory development,,1998,20.00%,8.33%
When does the service process matter? A Test of two competing theories,When does the service process matter? A test of two competing theories,,118,91.67%,91.67%
Impact of forecasting error on the performance of capacitated multi-item production systems,Impact of forecasting error on the performance of capacitated multi-item production systems,TS Lee,59,100.00%,100.00%
Assessing quality management in China with MBNQA criteria,Assessing quality management in China with MBNQA criteria,,107,100.00%,100.00%
Modeling customer satisfaction and repurchase frequency,Modeling repurchase frequency and customer satisfaction for fast food outlets,,142,100.00%,60.00%
Freezing the master production schedule under single resource constraint and demand uncertainty,Freezing the master production schedule under single resource constraint and demand uncertainty,TS Lee,92,100.00%,100.00%
A study of manufacturing resources planning (MRPII) implementation in China,A study of manufacturing resources planning (MRPII) implementation in China,F Lai,16,100.00%,100.00%
Survey of MRPII implementation and benefits in mainland China and Hong Kong,Survey of MRP II implementation and benefits in Mainland China and Hong Kong,F Lai,9,83.33%,76.92%
The impact of forecasting errors on value of order commitment in a supply chain,A framework for supply chain performance measurement,A Gunasekaran RE McGaughey,1995,14.29%,28.57%
The impact of forecasting models on the value of information sharing in a supply chain,The impact of forecasting model selection on the value of information sharing in a supply chain,,289,93.33%,87.50%
Optimizing the service configuration with the least cost approach,Optimizing the service configuration with the least total cost approach,,17,100.00%,90.00%
Forecasting errors and the value of information sharing in a supply chain,Forecasting errors and the value of information sharing in a supply chain,,150,100.00%,100.00%
Competitive priorities of enterprises in mainland China,Competitive priorities of enterprises in mainland China,,77,100.00%,100.00%
An empirical assessment and application of SERVQUAL at a Chinese department store,An empirical assessment and application of SERVQUAL in a mainland Chinese department store,,167,91.67%,84.62%
The impact of information sharing and ordering co-ordination on supply chain performance,The impact of information sharing and ordering co-ordination on supply chain performance,WJ Zhang,316,100.00%,100.00%
Improving the supply chain performance: Use of forecasting models versus early order commitment,Improving the supply chain performance: use of forecasting models versus early order commitments,,89,84.62%,84.62%
Freezing the master production schedule for multi-item single level systems with single resources constraint under deterministic demand,Freezing the master production schedule under single resource constraint and demand uncertainty,TS Lee,92,52.94%,83.33%
Quality management initiatives in Hong Kong's banking industry: A longitudinal study,Quality management initiatives in Hong Kong's banking industry: A longitudinal study,EY Li T Lee,36,100.00%,100.00%
Quality management initiatives in banking industry: A meta analysis of Hong Kong and the UK,Quality management initiatives in the banking industry: A meta analysis of Hong Kong and the UK,EY Li T Lee,11,106.67%,93.75%
Setting Safety Stock Levels in Material Requirements Planning (MRP) systems,Manufacturing planning and control systems,,2541,10.00%,20.00%
A Feasibility Procedure for Unidirectional Forward-Pass Heuristics for Multi-item Single Level capacitated Lot-Sizing Problems,A Feasibility Procedure for Unidirectional Forward-Pass Heuristics for Multi-Item Single-Level Capacitated Lot-Sizing Problems,TS Lee,4,71.43%,76.92%
Simulation Study on instability of Material Requirements planning,Freezing the master production schedule for material requirements planning systems under demand uncertainty,TS Lee,145,12.50%,7.69%
Improved Multilevel Lot-Sizing Heuristics and Freezing the Master Production Schedule in Material Requirements Planning Systems,Freezing the master production schedule for material requirements planning systems under demand uncertainty,TS Lee,145,13.33%,15.38%
An Application of Quality Function Deployment (QFD) to Improve the Quality of Teaching,An application of quality function deployment to improve the quality of teaching,,193,38.46%,41.67%
Lot-sizing Rules and Freezing the Master Production Schedule in MRP Systems,Manufacturing planning and control systems,,2541,9.09%,20.00%
Freezing the Master Production Schedule in Multilevel Material Requirements Planning Systems under Deterministic Demand,Freezing the master production schedule in multilevel material requirements planning systems under deterministic demand,TS Lee,36,28.57%,28.57%
The Impact of Microcomputer Applications on Research Productivity,The Impact of Microcomputer-Based Instruction on Teaching and Learning: A Review of Recent Research. ERIC Digest.,,66,62.50%,25.00%
"Benchmarking Quality Practices in India, China, and Mexico","Benchmarking quality practices in India, China and Mexico",,35,62.50%,62.50%
Lot-sizing Rules and Freezing the Master Production Schedule in MRP Systems under Demand Uncertainty,Lot-sizing rules and freezing the master production schedule in material requirements planning systems under demand uncertainty,TS Lee,60,35.71%,31.25%
A Brief Survey of Quality Management Issues among Chinese Executives and Workers,Gaining a competitive advantage,RA Noe B Gerhart PM Wright,1888,0.00%,0.00%
Lot-Sizing Rules and Forecasting Error in Multiple-Stage Production-Inventory Systems,Forecasting error evaluation in material requirements planning (MRP) production-inventory systems,TS Lee,117,22.22%,20.00%
Benchmarking Quality Management Practices in India: A Survey,Benchmarking quality management practices in India,,19,25.00%,33.33%
Freezing the Master Production Schedule in Multilevel Material Requirements Planning Systems under Demand Uncertainty,Freezing the master production schedule in multilevel material requirements planning systems under deterministic demand,TS Lee,36,28.57%,28.57%
A Survey of Quality Management Issues in the People's Republic of China,The animosity model of foreign product purchase: An empirical test in the People's Republic of China,,1382,58.33%,43.75%
Magnitude-Scaling Rate in Ground-Motion Prediction Equations for Response Spectra from Large Subduction Interface Earthquakes in Japan.,Magnitude‐scaling rate in ground‐motion prediction equations for response spectra from large subduction interface earthquakes in Japan,,11,25.00%,25.00%
"Magnitude-Scaling Rate in Ground-Motion Prediction Equations for Response Spectra from Large, Shallow Crustal Earthquakes.","Magnitude-scaling rate in ground-motion prediction equations for response spectra from large, shallow crustal earthquakes",,12,21.43%,21.43%
Submitted The Mw 6.2 Christchurch Earthquake of February (2011): preliminary report.,The Mw 6.2 Christchurch earthquake of February 2011: preliminary report,,116,63.64%,70.00%
"A comparison of recorded response spectra from the great 2008 Wenchuan, China, earthquake with modern ground-motion prediction models","A comparison of recorded response spectra from the 2008 Wenchuan, China, earthquake with modern ground-motion prediction models",,20,94.44%,100.00%
A preliminary study on the near-source strong-motion characteristics of the great 2008 Wenchuan earthquake in China,A preliminary study on the near-source strong-motion characteristics of the great 2008 Wenchuan earthquake in China,,15,100.00%,100.00%
Geometric spreading functions and modelling of volcanic zones for strong-motion attenuation models derived from records in Japan,Geometric spreading functions and modeling of volcanic zones for strong-motion attenuation models derived from records in Japan,,22,94.12%,94.12%
Seismic actions on acceleration sensitive non-structural components in ductile frames.,Seismic actions on acceleration sensitive non-structural components in ductile frames,,8,90.00%,90.00%
Side-effect of using response spectral amplification ratios for soft soil sites - earthquake source-type dependent amplification ratios,Side-effect of using response spectral amplification ratios for soft soil sites—Earthquake source-type dependent amplification ratios,,7,82.35%,93.33%
Inhibition of Very Strong Ground Motion in Response Spectral Attenuation Models and Effects of Site Class and Tectonic Category,Inhibition of very strong ground motion in response spectral attenuation models and effects of site class and tectonic category,DA Rhoades,1,31.58%,31.58%
Side-effect of using response spectral amplification ratios for soil sites – variability and earthquake-magnitude and source-distance dependent amplification ratios for soil sites,Side effect of using response spectral amplification ratios for soil sites—variability and earthquake-magnitude and source-distance dependent amplification ratios for …,,8,68.18%,89.47%
Response spectral amplification ratios from 1- and 2-dimensional nonlinear soil site models,Response spectral amplification ratios from 1-and 2-dimensional nonlinear soil site models,,16,83.33%,90.91%
A Simple Test for Inhibition of Very Strong Ground Motions in Attenuation Models,A simple test for inhibition of very strong shaking in ground-motion models,DA Rhoades,12,30.77%,33.33%
Empirical Lateral Spread Models and Evaluation Using New Zealand Data,"… flow model to digital elevation model accuracy: experiments with digitised map contours and interferometric SAR at Ruapehu and Taranaki volcanoes, New Zealand",,86,40.00%,13.64%
Inelastic Demand Spectra of Bi-Linear Models for Capacity Spectrum Method and Response of Simple Structures under Near-Source Records J.,Inelastic demand spectra of bi-linear models for capacity spectrum method and response of simple structures under near-source records,,3,31.58%,33.33%
Inelastic Demand Spectra for Bi-Linear Seismic Isolation Systems Based On Nonlinear Time History Analyses and the Response of Lead-Rubber Bearing Isolation Systems Subjected to Near-Source Ground Motions,Inelastic demand spectra for bi-linear seismic isolation systems based on nonlinear time history analyses and the response of lead-rubber bearing isolation …,,2,18.52%,23.81%
An Empirical Site-Classification Method for Strong-Motion Stations in Japan Using H/V Response Spectral Ratio,An empirical site-classification method for strong-motion stations in Japan using H/V response spectral ratio,,117,35.71%,35.71%
Crustal and Subduction zone attenuation relations for New Zealand earthquakes.,Crustal and subduction zone attenuation relations for New Zealand earthquakes,,42,80.00%,80.00%
Empirical models for estimating liquefaction-induced lateral spread displacement.,Empirical models for estimating liquefaction-induced lateral spread displacement,,22,87.50%,87.50%
Response of seismically isolated buildings with buffers subjected to near-source ground motions and possible alternative isolation systems.,[CITATION][C] Response of seismically isolated buildings with buffers subjected to near-source ground motions and possible alternative isolation systems,,3,94.12%,88.89%
background and preliminary results.,Preliminary results from the COBE differential microwave radiometers-Large angular scale isotropy of the cosmic microwave background,CL Bennett,360,25.00%,6.25%
Attenuation of ground motion and site response in Guangdong region.,Attenuation of ground motion and site response in Guangdong region,,11,90.00%,90.00%
Attenuation characteristics of ground motions in northern China,Attenuation characteristics of ground motions in northern China,,5,100.00%,100.00%
Investigation of Seismic Response of Soil Sites in Hong Kong: Part I-Preliminary Dynamic Test Results,Investigation of Seismic Response of Soil Sites in Hong Kong: Part I-Preliminary Dynamic Test Results,,5,100.00%,100.00%
The Chi-Chi earthquake of 21 September 1999 : report of the NZSEE Reconnaissance Team.,"[CITATION][C] The Chi-Chi, Taiwan earthquake of 21 September 1999: Report of the NZSEE Reconnaissance Team",,7,64.29%,60.00%
"Modelling and earthquake response of Gisborne Post Office site, New Zealand.","[CITATION][C] Modelling and earthquake response of Gisborne post office site, New Zealand",,8,72.73%,66.67%
A model for the attenuation of peak ground acceleration in New Zealand earthquakes based on seismograph and accelerograph data.,[CITATION][C] A model for the attenuation of peak ground acceleration in New Zealand earthquakes based on seismograph and accelerograph data,,32,94.74%,90.00%
Earthquake hazard in Christchurch.,[CITATION][C] Earthquake hazard in Christchurch,,14,75.00%,60.00%
Assessment of seismicity model for Hong Kong region.,Assessment of seismicity model for Hong Kong region,,21,87.50%,87.50%
Experimental results and dynamic parameters for the Penguin Vibration Damper (PVD) for wind and earthquake loading.,[CITATION][C] Experimental results and dynamic parameters for the penguin vibration damper (PVD) for wind and earthquake loading,,3,75.00%,70.59%
Assessing seismic response of soft soil sites in Hong Kong using microtremor records,Assessing Seismic Response of Soft Soil Sites in Hong Kong Using icrotremor Records,ES lam,19,38.46%,38.46%
Estimating kinematic interaction of raft foundations from earthquake records and its effects on structural response.,Estimating kinematic interaction of raft foundations from earthquake records and its effects on structural response,,5,93.33%,93.33%
The estimation of structural modal parameters from the responses of the Gisborne Post Office building in recent earthquakes.,[CITATION][C] The estimation of structural modal parameters from the responses of the Gisborne Post Office building in recent earthquakes,,3,94.44%,89.47%
Modal analysis of soft-soil sites including radiation damping,MODAL ANALYSIS OF SOFT‐SOIL SITES INCLUDING RADIATION DAMPING,,14,0.00%,0.00%
Effects of frequency dependent foundation-soil compliance on building vertical responses identified from earthquake records.,Effects of frequency dependent foundation-soil compliance on building vertical responses identified from earthquake records,,1,92.86%,92.86%
Calculating the dynamic stiffness matrix of 2-D foundations by discrete wave number indirect boundary element methods.,CALCULATING THE DYNAMIC STIFFNESS MATRIX OF 2‐D FOUNDATIONS BY DISCRETE WAVE NUMBER INDIRECT BOUNDARY ELEMENT METHODS,,7,0.00%,0.00%
Estimating modal parameters for a simple soft-soil site having a linear distribution of shear wave velocity with depth.,Estimating modal parameters for a simple soft‐soil site having a linear distribution of shear wave velocity with depth,,24,88.89%,88.89%
Development of a novel baculovirus titration method using the Enzyme-linked immunosorbent spot (ELISPOT) assay.,Development of a novel baculovirus titration method using the Enzyme-linked immunosorbent spot (ELISPOT) assay,Y Wang,6,92.86%,92.86%
Pairwise antibody footprinting using surface plasmon resonance technology to characterize human papillomavirus type 16 virus-like particles with direct anti-HPV antibody immobilization.,Pairwise antibody footprinting using surface plasmon resonance technology to characterize human papillomavirus type 16 virus-like particles with direct anti-HPV …,AC Finnefrock,15,85.71%,100.00%
Specific interaction between hnRNP H and HPV16 L1 proteins: implications for late gene auto-regulation enabling rapid viral capsid protein production.,Specific interaction between hnRNP H and HPV16 L1 proteins: Implications for late gene auto-regulation enabling rapid viral capsid protein production,,4,90.00%,90.00%
Antigenic determinants of hepatitis E virus and vaccine-induced immunogenicity and efficacy.,Antigenic determinants of hepatitis E virus and vaccine-induced immunogenicity and efficacy,,34,90.91%,90.91%
"Hepatitis E vaccine development, a 14-year odyssey",Hepatitis E vaccine development: a 14 year odyssey,,56,71.43%,62.50%
Toolbox for non-intrusive structural and functional analysis of recombinant VLP based vaccines: A case study with Hepatitis B vaccine,Toolbox for non-intrusive structural and functional analysis of recombinant VLP based vaccines: a case study with hepatitis B vaccine,Y Wang,33,89.47%,89.47%
Disassembly and reassembly improves morphology and thermal stability of human papillomavirus type 16 virus-like particles,Disassembly and reassembly improves morphology and thermal stability of human papillomavirus type 16 virus-like particles,Y Wang,36,100.00%,100.00%
Disassembly and reassembly of human papillomavirus virus-like particles produces more virion-like antibody reactivity,Disassembly and reassembly of human papillomavirus virus-like particles produces more virion-like antibody reactivity,Y Modis,62,100.00%,100.00%
Real time monitoring of antigenicity development of HBsAg virus-like particles (VLPs) during heat- and redox-treatment.,Real time monitoring of antigenicity development of HBsAg virus-like particles (VLPs) during heat-and redox-treatment,,21,80.00%,85.71%
In-depth process understanding of RECOMBIVAX HB® maturationand potential epitope improvements with redox treatment: Multifaceted biochemical and immunochemical characterization.,In-depth process understanding of RECOMBIVAX HB® maturation and potential epitope improvements with redox treatment: multifaceted biochemical and …,,25,77.78%,82.35%
Measurement and decomposition kinetics of residual hydrogen peroxide in the presence of commonly-used excipients and preservatives.,Measurement and decomposition kinetics of residual hydrogen peroxide in the presence of commonly used excipients and preservatives,,5,87.50%,82.35%
Maturation of recombinant Hepatitis B virus surface antigen particles,Maturation of recombinant hepatitis B virus surface antigen particles,,43,88.89%,88.89%
Unexpected Genetic and Structural Relationships of a Long-forgotten Flavoenzyme to NAD(P)H:Quinone Reductase (DT Diaphorase),Unexpected genetic and structural relationships of a long-forgotten flavoenzyme to NAD (P) H: quinone reductase (DT-diaphorase),,95,35.71%,31.25%
"Endogenous ω-3 Polyunsaturated Fatty Acid Production Confers Resistance to Obesity, Dyslipidemia, and Diabetes in Mice.","Endogenous ω-3 polyunsaturated fatty acid production confers resistance to obesity, dyslipidemia, and diabetes in mice",JX Kang,33,33.33%,33.33%
Role of p53 in preadipocyte differentiation.,Role of p53 in preadipocyte differentiation,M Liu,14,83.33%,83.33%
An Empirical Site-Classification Method for Strong-Motion Stations in Japan Using H/V Response Spectral Ratio,An empirical site-classification method for strong-motion stations in Japan using H/V response spectral ratio,,117,35.71%,35.71%
Crustal and Subduction zone attenuation relations for New Zealand earthquakes.,Crustal and subduction zone attenuation relations for New Zealand earthquakes,,42,80.00%,80.00%
Empirical models for estimating liquefaction-induced lateral spread displacement.,Empirical models for estimating liquefaction-induced lateral spread displacement,,22,87.50%,87.50%
Response of seismically isolated buildings with buffers subjected to near-source ground motions and possible alternative isolation systems.,[CITATION][C] Response of seismically isolated buildings with buffers subjected to near-source ground motions and possible alternative isolation systems,,3,94.12%,88.89%
background and preliminary results.,Preliminary results from the COBE differential microwave radiometers-Large angular scale isotropy of the cosmic microwave background,CL Bennett,360,25.00%,6.25%
Attenuation of ground motion and site response in Guangdong region.,Attenuation of ground motion and site response in Guangdong region,,11,90.00%,90.00%
Attenuation characteristics of ground motions in northern China,Attenuation characteristics of ground motions in northern China,,5,100.00%,100.00%
Investigation of Seismic Response of Soil Sites in Hong Kong: Part I-Preliminary Dynamic Test Results,Investigation of Seismic Response of Soil Sites in Hong Kong: Part I-Preliminary Dynamic Test Results,,5,100.00%,100.00%
The Chi-Chi earthquake of 21 September 1999 : report of the NZSEE Reconnaissance Team.,"[CITATION][C] The Chi-Chi, Taiwan earthquake of 21 September 1999: Report of the NZSEE Reconnaissance Team",,7,64.29%,60.00%
"Modelling and earthquake response of Gisborne Post Office site, New Zealand.","[CITATION][C] Modelling and earthquake response of Gisborne post office site, New Zealand",,8,72.73%,66.67%
A model for the attenuation of peak ground acceleration in New Zealand earthquakes based on seismograph and accelerograph data.,[CITATION][C] A model for the attenuation of peak ground acceleration in New Zealand earthquakes based on seismograph and accelerograph data,,32,94.74%,90.00%
Earthquake hazard in Christchurch.,[CITATION][C] Earthquake hazard in Christchurch,,14,75.00%,60.00%
Assessment of seismicity model for Hong Kong region.,Assessment of seismicity model for Hong Kong region,,21,87.50%,87.50%
Experimental results and dynamic parameters for the Penguin Vibration Damper (PVD) for wind and earthquake loading.,[CITATION][C] Experimental results and dynamic parameters for the penguin vibration damper (PVD) for wind and earthquake loading,,3,75.00%,70.59%
Assessing seismic response of soft soil sites in Hong Kong using microtremor records,Assessing Seismic Response of Soft Soil Sites in Hong Kong Using icrotremor Records,ES lam,19,38.46%,38.46%
Estimating kinematic interaction of raft foundations from earthquake records and its effects on structural response.,Estimating kinematic interaction of raft foundations from earthquake records and its effects on structural response,,5,93.33%,93.33%
The estimation of structural modal parameters from the responses of the Gisborne Post Office building in recent earthquakes.,[CITATION][C] The estimation of structural modal parameters from the responses of the Gisborne Post Office building in recent earthquakes,,3,94.44%,89.47%
Modal analysis of soft-soil sites including radiation damping,MODAL ANALYSIS OF SOFT‐SOIL SITES INCLUDING RADIATION DAMPING,,14,0.00%,0.00%
Effects of frequency dependent foundation-soil compliance on building vertical responses identified from earthquake records.,Effects of frequency dependent foundation-soil compliance on building vertical responses identified from earthquake records,,1,92.86%,92.86%
Calculating the dynamic stiffness matrix of 2-D foundations by discrete wave number indirect boundary element methods.,CALCULATING THE DYNAMIC STIFFNESS MATRIX OF 2‐D FOUNDATIONS BY DISCRETE WAVE NUMBER INDIRECT BOUNDARY ELEMENT METHODS,,7,0.00%,0.00%
Estimating modal parameters for a simple soft-soil site having a linear distribution of shear wave velocity with depth.,Estimating modal parameters for a simple soft‐soil site having a linear distribution of shear wave velocity with depth,,24,88.89%,88.89%
Development of a novel baculovirus titration method using the Enzyme-linked immunosorbent spot (ELISPOT) assay.,Development of a novel baculovirus titration method using the Enzyme-linked immunosorbent spot (ELISPOT) assay,Y Wang,6,92.86%,92.86%
Pairwise antibody footprinting using surface plasmon resonance technology to characterize human papillomavirus type 16 virus-like particles with direct anti-HPV antibody immobilization.,Pairwise antibody footprinting using surface plasmon resonance technology to characterize human papillomavirus type 16 virus-like particles with direct anti-HPV …,AC Finnefrock,15,85.71%,100.00%
Specific interaction between hnRNP H and HPV16 L1 proteins: implications for late gene auto-regulation enabling rapid viral capsid protein production.,Specific interaction between hnRNP H and HPV16 L1 proteins: Implications for late gene auto-regulation enabling rapid viral capsid protein production,,4,90.00%,90.00%
Antigenic determinants of hepatitis E virus and vaccine-induced immunogenicity and efficacy.,Antigenic determinants of hepatitis E virus and vaccine-induced immunogenicity and efficacy,,34,90.91%,90.91%
"Hepatitis E vaccine development, a 14-year odyssey",Hepatitis E vaccine development: a 14 year odyssey,,56,71.43%,62.50%
Toolbox for non-intrusive structural and functional analysis of recombinant VLP based vaccines: A case study with Hepatitis B vaccine,Toolbox for non-intrusive structural and functional analysis of recombinant VLP based vaccines: a case study with hepatitis B vaccine,Y Wang,33,89.47%,89.47%
Disassembly and reassembly improves morphology and thermal stability of human papillomavirus type 16 virus-like particles,Disassembly and reassembly improves morphology and thermal stability of human papillomavirus type 16 virus-like particles,Y Wang,36,100.00%,100.00%
Disassembly and reassembly of human papillomavirus virus-like particles produces more virion-like antibody reactivity,Disassembly and reassembly of human papillomavirus virus-like particles produces more virion-like antibody reactivity,Y Modis,62,100.00%,100.00%
Real time monitoring of antigenicity development of HBsAg virus-like particles (VLPs) during heat- and redox-treatment.,Real time monitoring of antigenicity development of HBsAg virus-like particles (VLPs) during heat-and redox-treatment,,21,80.00%,85.71%
In-depth process understanding of RECOMBIVAX HB® maturationand potential epitope improvements with redox treatment: Multifaceted biochemical and immunochemical characterization.,In-depth process understanding of RECOMBIVAX HB® maturation and potential epitope improvements with redox treatment: multifaceted biochemical and …,,25,77.78%,82.35%
Measurement and decomposition kinetics of residual hydrogen peroxide in the presence of commonly-used excipients and preservatives.,Measurement and decomposition kinetics of residual hydrogen peroxide in the presence of commonly used excipients and preservatives,,5,87.50%,82.35%
Maturation of recombinant Hepatitis B virus surface antigen particles,Maturation of recombinant hepatitis B virus surface antigen particles,,43,88.89%,88.89%
Unexpected Genetic and Structural Relationships of a Long-forgotten Flavoenzyme to NAD(P)H:Quinone Reductase (DT Diaphorase),Unexpected genetic and structural relationships of a long-forgotten flavoenzyme to NAD (P) H: quinone reductase (DT-diaphorase),,95,35.71%,31.25%
"Endogenous ω-3 Polyunsaturated Fatty Acid Production Confers Resistance to Obesity, Dyslipidemia, and Diabetes in Mice.","Endogenous ω-3 polyunsaturated fatty acid production confers resistance to obesity, dyslipidemia, and diabetes in mice",JX Kang,33,33.33%,33.33%
Role of p53 in preadipocyte differentiation.,Role of p53 in preadipocyte differentiation,M Liu,14,83.33%,83.33%
An Empirical Site-Classification Method for Strong-Motion Stations in Japan Using H/V Response Spectral Ratio,An empirical site-classification method for strong-motion stations in Japan using H/V response spectral ratio,,117,35.71%,35.71%
Crustal and Subduction zone attenuation relations for New Zealand earthquakes.,Crustal and subduction zone attenuation relations for New Zealand earthquakes,,42,80.00%,80.00%
Empirical models for estimating liquefaction-induced lateral spread displacement.,Empirical models for estimating liquefaction-induced lateral spread displacement,,22,87.50%,87.50%
Response of seismically isolated buildings with buffers subjected to near-source ground motions and possible alternative isolation systems.,[CITATION][C] Response of seismically isolated buildings with buffers subjected to near-source ground motions and possible alternative isolation systems,,3,94.12%,88.89%
background and preliminary results.,Preliminary results from the COBE differential microwave radiometers-Large angular scale isotropy of the cosmic microwave background,CL Bennett,360,25.00%,6.25%
Attenuation of ground motion and site response in Guangdong region.,Attenuation of ground motion and site response in Guangdong region,,11,90.00%,90.00%
Attenuation characteristics of ground motions in northern China,Attenuation characteristics of ground motions in northern China,,5,100.00%,100.00%
Investigation of Seismic Response of Soil Sites in Hong Kong: Part I-Preliminary Dynamic Test Results,Investigation of Seismic Response of Soil Sites in Hong Kong: Part I-Preliminary Dynamic Test Results,,5,100.00%,100.00%
The Chi-Chi earthquake of 21 September 1999 : report of the NZSEE Reconnaissance Team.,"[CITATION][C] The Chi-Chi, Taiwan earthquake of 21 September 1999: Report of the NZSEE Reconnaissance Team",,7,64.29%,60.00%
"Modelling and earthquake response of Gisborne Post Office site, New Zealand.","[CITATION][C] Modelling and earthquake response of Gisborne post office site, New Zealand",,8,72.73%,66.67%
A model for the attenuation of peak ground acceleration in New Zealand earthquakes based on seismograph and accelerograph data.,[CITATION][C] A model for the attenuation of peak ground acceleration in New Zealand earthquakes based on seismograph and accelerograph data,,32,94.74%,90.00%
Earthquake hazard in Christchurch.,[CITATION][C] Earthquake hazard in Christchurch,,14,75.00%,60.00%
Assessment of seismicity model for Hong Kong region.,Assessment of seismicity model for Hong Kong region,,21,87.50%,87.50%
Experimental results and dynamic parameters for the Penguin Vibration Damper (PVD) for wind and earthquake loading.,[CITATION][C] Experimental results and dynamic parameters for the penguin vibration damper (PVD) for wind and earthquake loading,,3,75.00%,70.59%
Assessing seismic response of soft soil sites in Hong Kong using microtremor records,Assessing Seismic Response of Soft Soil Sites in Hong Kong Using icrotremor Records,ES lam,19,38.46%,38.46%
Estimating kinematic interaction of raft foundations from earthquake records and its effects on structural response.,Estimating kinematic interaction of raft foundations from earthquake records and its effects on structural response,,5,93.33%,93.33%
The estimation of structural modal parameters from the responses of the Gisborne Post Office building in recent earthquakes.,[CITATION][C] The estimation of structural modal parameters from the responses of the Gisborne Post Office building in recent earthquakes,,3,94.44%,89.47%
Modal analysis of soft-soil sites including radiation damping,MODAL ANALYSIS OF SOFT‐SOIL SITES INCLUDING RADIATION DAMPING,,14,0.00%,0.00%
Effects of frequency dependent foundation-soil compliance on building vertical responses identified from earthquake records.,Effects of frequency dependent foundation-soil compliance on building vertical responses identified from earthquake records,,1,92.86%,92.86%
Calculating the dynamic stiffness matrix of 2-D foundations by discrete wave number indirect boundary element methods.,CALCULATING THE DYNAMIC STIFFNESS MATRIX OF 2‐D FOUNDATIONS BY DISCRETE WAVE NUMBER INDIRECT BOUNDARY ELEMENT METHODS,,7,0.00%,0.00%
Estimating modal parameters for a simple soft-soil site having a linear distribution of shear wave velocity with depth.,Estimating modal parameters for a simple soft‐soil site having a linear distribution of shear wave velocity with depth,,24,88.89%,88.89%
Development of a novel baculovirus titration method using the Enzyme-linked immunosorbent spot (ELISPOT) assay.,Development of a novel baculovirus titration method using the Enzyme-linked immunosorbent spot (ELISPOT) assay,Y Wang,6,92.86%,92.86%
Pairwise antibody footprinting using surface plasmon resonance technology to characterize human papillomavirus type 16 virus-like particles with direct anti-HPV antibody immobilization.,Pairwise antibody footprinting using surface plasmon resonance technology to characterize human papillomavirus type 16 virus-like particles with direct anti-HPV …,AC Finnefrock,15,85.71%,100.00%
Specific interaction between hnRNP H and HPV16 L1 proteins: implications for late gene auto-regulation enabling rapid viral capsid protein production.,Specific interaction between hnRNP H and HPV16 L1 proteins: Implications for late gene auto-regulation enabling rapid viral capsid protein production,,4,90.00%,90.00%
Antigenic determinants of hepatitis E virus and vaccine-induced immunogenicity and efficacy.,Antigenic determinants of hepatitis E virus and vaccine-induced immunogenicity and efficacy,,34,90.91%,90.91%
"Hepatitis E vaccine development, a 14-year odyssey",Hepatitis E vaccine development: a 14 year odyssey,,56,71.43%,62.50%
Toolbox for non-intrusive structural and functional analysis of recombinant VLP based vaccines: A case study with Hepatitis B vaccine,Toolbox for non-intrusive structural and functional analysis of recombinant VLP based vaccines: a case study with hepatitis B vaccine,Y Wang,33,89.47%,89.47%
Disassembly and reassembly improves morphology and thermal stability of human papillomavirus type 16 virus-like particles,Disassembly and reassembly improves morphology and thermal stability of human papillomavirus type 16 virus-like particles,Y Wang,36,100.00%,100.00%
